Tên nhà cung cấp (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Số dư nợ đầu kỳ (VNĐ),Ghi chú
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 01520,0820001520,0100001520,ncc01520@thịnhvượng.vn,"Số 640 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Phân phối Việt Phát - CN 01521,0820001521,0100001521,ncc01521@việtphát.vn,"Số 641 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Thương mại Hưng Thịnh - CN 01522,0820001522,0100001522,ncc01522@hưngthịnh.vn,"Số 642 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Tổng Kho Đại lý Toàn Thắng - CN 01523,0820001523,0100001523,ncc01523@toànthắng.vn,"Số 643 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 01524,0820001524,0100001524,ncc01524@phúclộc.vn,"Số 644 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Doanh nghiệp Tư nhân Minh Châu - CN 01525,0820001525,0100001525,ncc01525@minhchâu.vn,"Số 645 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Thực phẩm Đại Nam - CN 01526,0820001526,0100001526,ncc01526@đạinam.vn,"Số 646 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 01527,0820001527,0100001527,ncc01527@hảiđăng.vn,"Số 647 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Đại lý Phân phối Cấp 1 Á Châu - CN 01528,0820001528,0100001528,ncc01528@áchâu.vn,"Số 648 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Phân phối Hoàng Kim - CN 01529,0820001529,0100001529,ncc01529@hoàngkim.vn,"Số 649 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Thương mại Thành Đạt - CN 01530,0820001530,0100001530,ncc01530@thànhđạt.vn,"Số 650 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Tổng Kho Đại lý Thiên Phú - CN 01531,0820001531,0100001531,ncc01531@thiênphú.vn,"Số 651 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 01532,0820001532,0100001532,ncc01532@tháibìnhdương.vn,"Số 652 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Doanh nghiệp Tư nhân Nam Việt - CN 01533,0820001533,0100001533,ncc01533@namviệt.vn,"Số 653 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Thực phẩm Đông Dương - CN 01534,0820001534,0100001534,ncc01534@đôngdương.vn,"Số 654 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 01535,0820001535,0100001535,ncc01535@giaphát.vn,"Số 655 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Đại lý Phân phối Cấp 1 Tân Tiến - CN 01536,0820001536,0100001536,ncc01536@tântiến.vn,"Số 656 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Phân phối Đức Trí - CN 01537,0820001537,0100001537,ncc01537@đứctrí.vn,"Số 657 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Thương mại An Bình - CN 01538,0820001538,0100001538,ncc01538@anbình.vn,"Số 658 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Tổng Kho Đại lý Khang Thịnh - CN 01539,0820001539,0100001539,ncc01539@khangthịnh.vn,"Số 659 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 01540,0820001540,0100001540,ncc01540@thịnhvượng.vn,"Số 660 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Doanh nghiệp Tư nhân Việt Phát - CN 01541,0820001541,0100001541,ncc01541@việtphát.vn,"Số 661 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Thực phẩm Hưng Thịnh - CN 01542,0820001542,0100001542,ncc01542@hưngthịnh.vn,"Số 662 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 01543,0820001543,0100001543,ncc01543@toànthắng.vn,"Số 663 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 01544,0820001544,0100001544,ncc01544@phúclộc.vn,"Số 664 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Phân phối Minh Châu - CN 01545,0820001545,0100001545,ncc01545@minhchâu.vn,"Số 665 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Thương mại Đại Nam - CN 01546,0820001546,0100001546,ncc01546@đạinam.vn,"Số 666 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Tổng Kho Đại lý Hải Đăng - CN 01547,0820001547,0100001547,ncc01547@hảiđăng.vn,"Số 667 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Nhà phân phối Hàng tiêu dùng Á Châu - CN 01548,0820001548,0100001548,ncc01548@áchâu.vn,"Số 668 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Doanh nghiệp Tư nhân Hoàng Kim - CN 01549,0820001549,0100001549,ncc01549@hoàngkim.vn,"Số 669 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Thực phẩm Thành Đạt - CN 01550,0820001550,0100001550,ncc01550@thànhđạt.vn,"Số 670 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 01551,0820001551,0100001551,ncc01551@thiênphú.vn,"Số 671 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 01552,0820001552,0100001552,ncc01552@tháibìnhdương.vn,"Số 672 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Phân phối Nam Việt - CN 01553,0820001553,0100001553,ncc01553@namviệt.vn,"Số 673 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Thương mại Đông Dương - CN 01554,0820001554,0100001554,ncc01554@đôngdương.vn,"Số 674 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Tổng Kho Đại lý Gia Phát - CN 01555,0820001555,0100001555,ncc01555@giaphát.vn,"Số 675 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 01556,0820001556,0100001556,ncc01556@tântiến.vn,"Số 676 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Doanh nghiệp Tư nhân Đức Trí - CN 01557,0820001557,0100001557,ncc01557@đứctrí.vn,"Số 677 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Thực phẩm An Bình - CN 01558,0820001558,0100001558,ncc01558@anbình.vn,"Số 678 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 01559,0820001559,0100001559,ncc01559@khangthịnh.vn,"Số 679 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 01560,0820001560,0100001560,ncc01560@thịnhvượng.vn,"Số 680 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Phân phối Việt Phát - CN 01561,0820001561,0100001561,ncc01561@việtphát.vn,"Số 681 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Thương mại Hưng Thịnh - CN 01562,0820001562,0100001562,ncc01562@hưngthịnh.vn,"Số 682 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Tổng Kho Đại lý Toàn Thắng - CN 01563,0820001563,0100001563,ncc01563@toànthắng.vn,"Số 683 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 01564,0820001564,0100001564,ncc01564@phúclộc.vn,"Số 684 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Doanh nghiệp Tư nhân Minh Châu - CN 01565,0820001565,0100001565,ncc01565@minhchâu.vn,"Số 685 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Thực phẩm Đại Nam - CN 01566,0820001566,0100001566,ncc01566@đạinam.vn,"Số 686 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 01567,0820001567,0100001567,ncc01567@hảiđăng.vn,"Số 687 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Đại lý Phân phối Cấp 1 Á Châu - CN 01568,0820001568,0100001568,ncc01568@áchâu.vn,"Số 688 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Phân phối Hoàng Kim - CN 01569,0820001569,0100001569,ncc01569@hoàngkim.vn,"Số 689 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Thương mại Thành Đạt - CN 01570,0820001570,0100001570,ncc01570@thànhđạt.vn,"Số 690 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Tổng Kho Đại lý Thiên Phú - CN 01571,0820001571,0100001571,ncc01571@thiênphú.vn,"Số 691 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 01572,0820001572,0100001572,ncc01572@tháibìnhdương.vn,"Số 692 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Doanh nghiệp Tư nhân Nam Việt - CN 01573,0820001573,0100001573,ncc01573@namviệt.vn,"Số 693 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Thực phẩm Đông Dương - CN 01574,0820001574,0100001574,ncc01574@đôngdương.vn,"Số 694 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 01575,0820001575,0100001575,ncc01575@giaphát.vn,"Số 695 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Đại lý Phân phối Cấp 1 Tân Tiến - CN 01576,0820001576,0100001576,ncc01576@tântiến.vn,"Số 696 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Phân phối Đức Trí - CN 01577,0820001577,0100001577,ncc01577@đứctrí.vn,"Số 697 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Thương mại An Bình - CN 01578,0820001578,0100001578,ncc01578@anbình.vn,"Số 698 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Tổng Kho Đại lý Khang Thịnh - CN 01579,0820001579,0100001579,ncc01579@khangthịnh.vn,"Số 699 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 01580,0820001580,0100001580,ncc01580@thịnhvượng.vn,"Số 700 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Doanh nghiệp Tư nhân Việt Phát - CN 01581,0820001581,0100001581,ncc01581@việtphát.vn,"Số 701 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Thực phẩm Hưng Thịnh - CN 01582,0820001582,0100001582,ncc01582@hưngthịnh.vn,"Số 702 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 01583,0820001583,0100001583,ncc01583@toànthắng.vn,"Số 703 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 01584,0820001584,0100001584,ncc01584@phúclộc.vn,"Số 704 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Phân phối Minh Châu - CN 01585,0820001585,0100001585,ncc01585@minhchâu.vn,"Số 705 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Thương mại Đại Nam - CN 01586,0820001586,0100001586,ncc01586@đạinam.vn,"Số 706 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Tổng Kho Đại lý Hải Đăng - CN 01587,0820001587,0100001587,ncc01587@hảiđăng.vn,"Số 707 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Nhà phân phối Hàng tiêu dùng Á Châu - CN 01588,0820001588,0100001588,ncc01588@áchâu.vn,"Số 708 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Doanh nghiệp Tư nhân Hoàng Kim - CN 01589,0820001589,0100001589,ncc01589@hoàngkim.vn,"Số 709 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Thực phẩm Thành Đạt - CN 01590,0820001590,0100001590,ncc01590@thànhđạt.vn,"Số 710 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 01591,0820001591,0100001591,ncc01591@thiênphú.vn,"Số 711 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 01592,0820001592,0100001592,ncc01592@tháibìnhdương.vn,"Số 712 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Phân phối Nam Việt - CN 01593,0820001593,0100001593,ncc01593@namviệt.vn,"Số 713 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Thương mại Đông Dương - CN 01594,0820001594,0100001594,ncc01594@đôngdương.vn,"Số 714 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Tổng Kho Đại lý Gia Phát - CN 01595,0820001595,0100001595,ncc01595@giaphát.vn,"Số 715 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 01596,0820001596,0100001596,ncc01596@tântiến.vn,"Số 716 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Doanh nghiệp Tư nhân Đức Trí - CN 01597,0820001597,0100001597,ncc01597@đứctrí.vn,"Số 717 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Thực phẩm An Bình - CN 01598,0820001598,0100001598,ncc01598@anbình.vn,"Số 718 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 01599,0820001599,0100001599,ncc01599@khangthịnh.vn,"Số 719 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 01600,0820001600,0100001600,ncc01600@thịnhvượng.vn,"Số 720 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Phân phối Việt Phát - CN 01601,0820001601,0100001601,ncc01601@việtphát.vn,"Số 721 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Thương mại Hưng Thịnh - CN 01602,0820001602,0100001602,ncc01602@hưngthịnh.vn,"Số 722 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Tổng Kho Đại lý Toàn Thắng - CN 01603,0820001603,0100001603,ncc01603@toànthắng.vn,"Số 723 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 01604,0820001604,0100001604,ncc01604@phúclộc.vn,"Số 724 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Doanh nghiệp Tư nhân Minh Châu - CN 01605,0820001605,0100001605,ncc01605@minhchâu.vn,"Số 725 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Thực phẩm Đại Nam - CN 01606,0820001606,0100001606,ncc01606@đạinam.vn,"Số 726 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 01607,0820001607,0100001607,ncc01607@hảiđăng.vn,"Số 727 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Đại lý Phân phối Cấp 1 Á Châu - CN 01608,0820001608,0100001608,ncc01608@áchâu.vn,"Số 728 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Phân phối Hoàng Kim - CN 01609,0820001609,0100001609,ncc01609@hoàngkim.vn,"Số 729 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Thương mại Thành Đạt - CN 01610,0820001610,0100001610,ncc01610@thànhđạt.vn,"Số 730 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Tổng Kho Đại lý Thiên Phú - CN 01611,0820001611,0100001611,ncc01611@thiênphú.vn,"Số 731 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 01612,0820001612,0100001612,ncc01612@tháibìnhdương.vn,"Số 732 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Doanh nghiệp Tư nhân Nam Việt - CN 01613,0820001613,0100001613,ncc01613@namviệt.vn,"Số 733 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Thực phẩm Đông Dương - CN 01614,0820001614,0100001614,ncc01614@đôngdương.vn,"Số 734 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 01615,0820001615,0100001615,ncc01615@giaphát.vn,"Số 735 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Đại lý Phân phối Cấp 1 Tân Tiến - CN 01616,0820001616,0100001616,ncc01616@tântiến.vn,"Số 736 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Phân phối Đức Trí - CN 01617,0820001617,0100001617,ncc01617@đứctrí.vn,"Số 737 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Thương mại An Bình - CN 01618,0820001618,0100001618,ncc01618@anbình.vn,"Số 738 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Tổng Kho Đại lý Khang Thịnh - CN 01619,0820001619,0100001619,ncc01619@khangthịnh.vn,"Số 739 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 01620,0820001620,0100001620,ncc01620@thịnhvượng.vn,"Số 740 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Doanh nghiệp Tư nhân Việt Phát - CN 01621,0820001621,0100001621,ncc01621@việtphát.vn,"Số 741 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Thực phẩm Hưng Thịnh - CN 01622,0820001622,0100001622,ncc01622@hưngthịnh.vn,"Số 742 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 01623,0820001623,0100001623,ncc01623@toànthắng.vn,"Số 743 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 01624,0820001624,0100001624,ncc01624@phúclộc.vn,"Số 744 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Phân phối Minh Châu - CN 01625,0820001625,0100001625,ncc01625@minhchâu.vn,"Số 745 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Thương mại Đại Nam - CN 01626,0820001626,0100001626,ncc01626@đạinam.vn,"Số 746 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Tổng Kho Đại lý Hải Đăng - CN 01627,0820001627,0100001627,ncc01627@hảiđăng.vn,"Số 747 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Nhà phân phối Hàng tiêu dùng Á Châu - CN 01628,0820001628,0100001628,ncc01628@áchâu.vn,"Số 748 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Doanh nghiệp Tư nhân Hoàng Kim - CN 01629,0820001629,0100001629,ncc01629@hoàngkim.vn,"Số 749 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Thực phẩm Thành Đạt - CN 01630,0820001630,0100001630,ncc01630@thànhđạt.vn,"Số 750 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 01631,0820001631,0100001631,ncc01631@thiênphú.vn,"Số 751 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 01632,0820001632,0100001632,ncc01632@tháibìnhdương.vn,"Số 752 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Phân phối Nam Việt - CN 01633,0820001633,0100001633,ncc01633@namviệt.vn,"Số 753 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Thương mại Đông Dương - CN 01634,0820001634,0100001634,ncc01634@đôngdương.vn,"Số 754 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Tổng Kho Đại lý Gia Phát - CN 01635,0820001635,0100001635,ncc01635@giaphát.vn,"Số 755 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 01636,0820001636,0100001636,ncc01636@tântiến.vn,"Số 756 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Doanh nghiệp Tư nhân Đức Trí - CN 01637,0820001637,0100001637,ncc01637@đứctrí.vn,"Số 757 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Thực phẩm An Bình - CN 01638,0820001638,0100001638,ncc01638@anbình.vn,"Số 758 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 01639,0820001639,0100001639,ncc01639@khangthịnh.vn,"Số 759 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 01640,0820001640,0100001640,ncc01640@thịnhvượng.vn,"Số 760 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Phân phối Việt Phát - CN 01641,0820001641,0100001641,ncc01641@việtphát.vn,"Số 761 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Thương mại Hưng Thịnh - CN 01642,0820001642,0100001642,ncc01642@hưngthịnh.vn,"Số 762 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Tổng Kho Đại lý Toàn Thắng - CN 01643,0820001643,0100001643,ncc01643@toànthắng.vn,"Số 763 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 01644,0820001644,0100001644,ncc01644@phúclộc.vn,"Số 764 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
