Mã SKU,Tên hàng hóa,Đơn vị tính,Giá bán,% Thuế suất,Tên nhóm hàng,Tồn ban đầu
SP001406,Bánh que Pocky socola Glico 40g (Lô 23),Hộp,15400,8,Bánh kẹo & Ăn vặt,442
SP001407,Kẹo dẻo Chupa Chups Sour Tubes 160g (Lô 23),Gói,26400,8,Bánh kẹo & Ăn vặt,449
SP001408,Bánh mì tươi nhân bơ sữa Kinh Đô 80g (Lô 23),Cái,9900,8,Bánh kẹo & Ăn vặt,456
SP001409,Bánh xốp Nabati phô mai 130g (Lô 23),Hộp,13200,8,Bánh kẹo & Ăn vặt,463
SP001410,Hạt điều rang muối vỏ lụa Bình Phước 500g (Lô 23),Hộp,148500,8,Bánh kẹo & Ăn vặt,470
SP001411,Hạt hướng dương Chacheer 130g (Lô 23),Gói,16500,8,Bánh kẹo & Ăn vặt,477
SP001412,Rong biển sấy vị truyền thống TaoKaeNoi 32g (Lô 23),Gói,28600,8,Bánh kẹo & Ăn vặt,484
SP001413,Nước mắm Nam Ngư Đệ Nhị chai 900ml (Lô 23),Chai,30800,8,Gia vị & Đồ nấu nướng,491
SP001414,Nước mắm Chinsu Cá Hồi chai 500ml (Lô 23),Chai,51700,8,Gia vị & Đồ nấu nướng,498
SP001415,Dầu ăn Simply đậu nành can 1L (Lô 23),Chai,64900,8,Gia vị & Đồ nấu nướng,55
SP001416,Dầu ăn Neptune Gold can 2L (Lô 23),Chai,148500,8,Gia vị & Đồ nấu nướng,62
SP001417,Hạt nêm Knorr thịt thăn xương ống 400g (Lô 23),Gói,40700,8,Gia vị & Đồ nấu nướng,69
SP001418,Bột ngọt Ajinomoto gói 454g (Lô 23),Gói,37400,8,Gia vị & Đồ nấu nướng,76
SP001419,Tương ớt Chinsu nắp bật 250g (Lô 23),Chai,16500,8,Gia vị & Đồ nấu nướng,83
SP001420,Tương cà Cholimex chai 330g (Lô 23),Chai,17600,8,Gia vị & Đồ nấu nướng,90
SP001421,Muối I-ốt Bạc Liêu túi 500g (Lô 23),Gói,6600,8,Gia vị & Đồ nấu nướng,97
SP001422,Đường tinh luyện Biên Hòa Daily 1kg (Lô 23),Gói,34100,8,Gia vị & Đồ nấu nướng,104
SP001423,Mì tôm Hảo Hảo tôm chua cay 75g (Lô 23),Gói,4950,8,Mì gói & Thực phẩm khô,111
SP001424,Mì Omachi sườn hầm ngũ quả 80g (Lô 23),Gói,9350,8,Mì gói & Thực phẩm khô,118
SP001425,Mì trộn Indomie Mi Goreng 85g (Lô 23),Gói,7150,8,Mì gói & Thực phẩm khô,125
SP001426,Phở gà Đệ Nhất Acecook 68g (Lô 23),Gói,8800,8,Mì gói & Thực phẩm khô,132
SP001427,Miến Phú Hương yến tiệc 210g (Lô 23),Gói,24200,8,Mì gói & Thực phẩm khô,139
SP001428,Cháo thịt bằm Cung Đình gói 50g (Lô 23),Gói,7700,8,Mì gói & Thực phẩm khô,146
SP001429,Cá nục sốt cà 3 Cô Gái lon 155g (Lô 23),Lon,20900,8,Mì gói & Thực phẩm khô,153
SP001430,Pate thịt heo Hạ Long lon 150g (Lô 23),Lon,29700,8,Mì gói & Thực phẩm khô,160
SP001431,Mì ly Modern lẩu thái tôm 65g (Lô 23),Ly,10450,8,Mì gói & Thực phẩm khô,167
SP001432,Nước rửa chén Sunlight chanh can 3.6kg (Lô 23),Can,119900,10,Hóa mỹ phẩm & Tẩy rửa,174
SP001433,Nước giặt OMO Matic cửa trên túi 3.6kg (Lô 23),Túi,192500,10,Hóa mỹ phẩm & Tẩy rửa,181
SP001434,Nước xả vải Comfort đậm đặc túi 3.2L (Lô 23),Túi,207900,10,Hóa mỹ phẩm & Tẩy rửa,188
SP001435,Dầu gội Clear thảo dược mát lạnh 630g (Lô 23),Chai,181500,10,Hóa mỹ phẩm & Tẩy rửa,195
SP001436,Dầu gội Pantene suôn mượt 650ml (Lô 23),Chai,170500,10,Hóa mỹ phẩm & Tẩy rửa,202
SP001437,Sữa tắm Lifebuoy bảo vệ vượt trội 800g (Lô 23),Chai,163900,10,Hóa mỹ phẩm & Tẩy rửa,209
SP001438,Kem đánh răng Colgate Total 12 180g (Lô 23),Tuýp,46200,10,Hóa mỹ phẩm & Tẩy rửa,216
SP001439,Bàn chải đánh răng P/S than tre (Lô 23),Cái,19800,10,Hóa mỹ phẩm & Tẩy rửa,223
SP001440,Nước lau sàn Sunlight hoa lily túi 3.6kg (Lô 23),Túi,93500,10,Hóa mỹ phẩm & Tẩy rửa,230
SP001441,Xịt muỗi Raid hương cam chanh 600ml (Lô 23),Chai,74800,10,Hóa mỹ phẩm & Tẩy rửa,237
SP001442,Giấy vệ sinh cuộn cao cấp Pulppy lốc 10 cuộn (Lô 23),Lốc,101200,8,Đồ gia dụng & Tiện ích,244
SP001443,Khăn giấy lụa rút Paseo 200 tờ (Lô 23),Hộp,27500,8,Đồ gia dụng & Tiện ích,251
SP001444,Màng bọc thực phẩm PE Sunhouse 30cmx150m (Lô 23),Hộp,82500,8,Đồ gia dụng & Tiện ích,258
SP001445,Túi rác đen tự hủy sinh học Opec 3 cuộn (Lô 23),Gói,41800,8,Đồ gia dụng & Tiện ích,265
SP001446,Băng dính dán thùng trong suốt 5cm x 100y (Lô 23),Cuộn,17600,8,Đồ gia dụng & Tiện ích,272
SP001447,Pin tiểu AA Panasonic vỉ 4 viên (Lô 23),Vỉ,28600,8,Đồ gia dụng & Tiện ích,279
SP001448,Khẩu trang y tế 4 lớp kháng khuẩn hộp 50 cái (Lô 23),Hộp,38500,8,Đồ gia dụng & Tiện ích,286
SP001449,Nước rửa tay Lifebuoy hương chanh chai 450ml (Lô 23),Chai,57200,8,Đồ gia dụng & Tiện ích,293
SP001450,Coca Cola Sleek 320ml (Lô 24),Lon,12649,8,Đồ uống & Giải khát,300
SP001451,Pepsi Sleek 320ml (Lô 24),Lon,12074,8,Đồ uống & Giải khát,307
SP001452,Nước cam ép Twister 450ml (Lô 24),Chai,13799,8,Đồ uống & Giải khát,314
SP001453,Trà xanh Không Độ 455ml (Lô 24),Chai,11500,8,Đồ uống & Giải khát,321
SP001454,Trà Ô Long Tea+ Plus 455ml (Lô 24),Chai,13799,8,Đồ uống & Giải khát,328
SP001455,Nước tăng lực Red Bull 250ml (Lô 24),Lon,16099,8,Đồ uống & Giải khát,335
SP001456,Nước khoáng Lavie 500ml (Lô 24),Chai,6899,8,Đồ uống & Giải khát,342
SP001457,Nước tinh khiết Aquafina 500ml (Lô 24),Chai,6899,8,Đồ uống & Giải khát,349
SP001458,Cà phê sữa đá Highlands 235ml (Lô 24),Lon,18400,8,Đồ uống & Giải khát,356
SP001459,Bia Heineken Sleek 330ml (Lô 24),Lon,25299,10,Đồ uống & Giải khát,363
SP001460,Bia Tiger Crystal 330ml (Lô 24),Lon,22425,10,Đồ uống & Giải khát,370
SP001461,Bia Sài Gòn Special 330ml (Lô 24),Lon,18975,10,Đồ uống & Giải khát,377
SP001462,Sữa tươi tiệt trùng Vinamilk 180ml (Lô 24),Hộp,9775,0,Đồ uống & Giải khát,384
SP001463,Sữa chua uống Susu 110ml (Lô 24),Chai,7474,0,Đồ uống & Giải khát,391
SP001464,Nước ép bưởi hồng Vfresh 1L (Lô 24),Hộp,44850,8,Đồ uống & Giải khát,398
SP001465,Bánh ChocoPie Orion hộp 12 cái (Lô 24),Hộp,66700,8,Bánh kẹo & Ăn vặt,405
SP001466,Bánh Cosy mè giòn rụm Kinh Đô 288g (Lô 24),Gói,33350,8,Bánh kẹo & Ăn vặt,412
SP001467,Snack khoai tây Ostar vị tảo biển 90g (Lô 24),Gói,21850,8,Bánh kẹo & Ăn vặt,419
SP001468,Snack khoai tây Lay's tự nhiên 95g (Lô 24),Gói,24149,8,Bánh kẹo & Ăn vặt,426
SP001469,Bánh que Pocky socola Glico 40g (Lô 24),Hộp,16099,8,Bánh kẹo & Ăn vặt,433
SP001470,Kẹo dẻo Chupa Chups Sour Tubes 160g (Lô 24),Gói,27599,8,Bánh kẹo & Ăn vặt,440
SP001471,Bánh mì tươi nhân bơ sữa Kinh Đô 80g (Lô 24),Cái,10350,8,Bánh kẹo & Ăn vặt,447
SP001472,Bánh xốp Nabati phô mai 130g (Lô 24),Hộp,13799,8,Bánh kẹo & Ăn vặt,454
SP001473,Hạt điều rang muối vỏ lụa Bình Phước 500g (Lô 24),Hộp,155250,8,Bánh kẹo & Ăn vặt,461
SP001474,Hạt hướng dương Chacheer 130g (Lô 24),Gói,17250,8,Bánh kẹo & Ăn vặt,468
SP001475,Rong biển sấy vị truyền thống TaoKaeNoi 32g (Lô 24),Gói,29899,8,Bánh kẹo & Ăn vặt,475
SP001476,Nước mắm Nam Ngư Đệ Nhị chai 900ml (Lô 24),Chai,32199,8,Gia vị & Đồ nấu nướng,482
SP001477,Nước mắm Chinsu Cá Hồi chai 500ml (Lô 24),Chai,54049,8,Gia vị & Đồ nấu nướng,489
SP001478,Dầu ăn Simply đậu nành can 1L (Lô 24),Chai,67850,8,Gia vị & Đồ nấu nướng,496
SP001479,Dầu ăn Neptune Gold can 2L (Lô 24),Chai,155250,8,Gia vị & Đồ nấu nướng,53
SP001480,Hạt nêm Knorr thịt thăn xương ống 400g (Lô 24),Gói,42550,8,Gia vị & Đồ nấu nướng,60
SP001481,Bột ngọt Ajinomoto gói 454g (Lô 24),Gói,39100,8,Gia vị & Đồ nấu nướng,67
SP001482,Tương ớt Chinsu nắp bật 250g (Lô 24),Chai,17250,8,Gia vị & Đồ nấu nướng,74
SP001483,Tương cà Cholimex chai 330g (Lô 24),Chai,18400,8,Gia vị & Đồ nấu nướng,81
SP001484,Muối I-ốt Bạc Liêu túi 500g (Lô 24),Gói,6899,8,Gia vị & Đồ nấu nướng,88
SP001485,Đường tinh luyện Biên Hòa Daily 1kg (Lô 24),Gói,35650,8,Gia vị & Đồ nấu nướng,95
SP001486,Mì tôm Hảo Hảo tôm chua cay 75g (Lô 24),Gói,5175,8,Mì gói & Thực phẩm khô,102
SP001487,Mì Omachi sườn hầm ngũ quả 80g (Lô 24),Gói,9775,8,Mì gói & Thực phẩm khô,109
SP001488,Mì trộn Indomie Mi Goreng 85g (Lô 24),Gói,7474,8,Mì gói & Thực phẩm khô,116
SP001489,Phở gà Đệ Nhất Acecook 68g (Lô 24),Gói,9200,8,Mì gói & Thực phẩm khô,123
SP001490,Miến Phú Hương yến tiệc 210g (Lô 24),Gói,25299,8,Mì gói & Thực phẩm khô,130
SP001491,Cháo thịt bằm Cung Đình gói 50g (Lô 24),Gói,8049,8,Mì gói & Thực phẩm khô,137
SP001492,Cá nục sốt cà 3 Cô Gái lon 155g (Lô 24),Lon,21850,8,Mì gói & Thực phẩm khô,144
SP001493,Pate thịt heo Hạ Long lon 150g (Lô 24),Lon,31049,8,Mì gói & Thực phẩm khô,151
SP001494,Mì ly Modern lẩu thái tôm 65g (Lô 24),Ly,10925,8,Mì gói & Thực phẩm khô,158
SP001495,Nước rửa chén Sunlight chanh can 3.6kg (Lô 24),Can,125349,10,Hóa mỹ phẩm & Tẩy rửa,165
SP001496,Nước giặt OMO Matic cửa trên túi 3.6kg (Lô 24),Túi,201249,10,Hóa mỹ phẩm & Tẩy rửa,172
SP001497,Nước xả vải Comfort đậm đặc túi 3.2L (Lô 24),Túi,217349,10,Hóa mỹ phẩm & Tẩy rửa,179
SP001498,Dầu gội Clear thảo dược mát lạnh 630g (Lô 24),Chai,189749,10,Hóa mỹ phẩm & Tẩy rửa,186
SP001499,Dầu gội Pantene suôn mượt 650ml (Lô 24),Chai,178250,10,Hóa mỹ phẩm & Tẩy rửa,193
SP001500,Sữa tắm Lifebuoy bảo vệ vượt trội 800g (Lô 24),Chai,171350,10,Hóa mỹ phẩm & Tẩy rửa,200
SP001501,Kem đánh răng Colgate Total 12 180g (Lô 24),Tuýp,48299,10,Hóa mỹ phẩm & Tẩy rửa,207
SP001502,Bàn chải đánh răng P/S than tre (Lô 24),Cái,20700,10,Hóa mỹ phẩm & Tẩy rửa,214
SP001503,Nước lau sàn Sunlight hoa lily túi 3.6kg (Lô 24),Túi,97749,10,Hóa mỹ phẩm & Tẩy rửa,221
SP001504,Xịt muỗi Raid hương cam chanh 600ml (Lô 24),Chai,78200,10,Hóa mỹ phẩm & Tẩy rửa,228
SP001505,Giấy vệ sinh cuộn cao cấp Pulppy lốc 10 cuộn (Lô 24),Lốc,105799,8,Đồ gia dụng & Tiện ích,235
SP001506,Khăn giấy lụa rút Paseo 200 tờ (Lô 24),Hộp,28749,8,Đồ gia dụng & Tiện ích,242
SP001507,Màng bọc thực phẩm PE Sunhouse 30cmx150m (Lô 24),Hộp,86250,8,Đồ gia dụng & Tiện ích,249
SP001508,Túi rác đen tự hủy sinh học Opec 3 cuộn (Lô 24),Gói,43700,8,Đồ gia dụng & Tiện ích,256
SP001509,Băng dính dán thùng trong suốt 5cm x 100y (Lô 24),Cuộn,18400,8,Đồ gia dụng & Tiện ích,263
SP001510,Pin tiểu AA Panasonic vỉ 4 viên (Lô 24),Vỉ,29899,8,Đồ gia dụng & Tiện ích,270
SP001511,Khẩu trang y tế 4 lớp kháng khuẩn hộp 50 cái (Lô 24),Hộp,40250,8,Đồ gia dụng & Tiện ích,277
SP001512,Nước rửa tay Lifebuoy hương chanh chai 450ml (Lô 24),Chai,59799,8,Đồ gia dụng & Tiện ích,284
SP001513,Coca Cola Sleek 320ml (Lô 25),Lon,13200,8,Đồ uống & Giải khát,291
SP001514,Pepsi Sleek 320ml (Lô 25),Lon,12600,8,Đồ uống & Giải khát,298
SP001515,Nước cam ép Twister 450ml (Lô 25),Chai,14400,8,Đồ uống & Giải khát,305
SP001516,Trà xanh Không Độ 455ml (Lô 25),Chai,12000,8,Đồ uống & Giải khát,312
SP001517,Trà Ô Long Tea+ Plus 455ml (Lô 25),Chai,14400,8,Đồ uống & Giải khát,319
SP001518,Nước tăng lực Red Bull 250ml (Lô 25),Lon,16800,8,Đồ uống & Giải khát,326
SP001519,Nước khoáng Lavie 500ml (Lô 25),Chai,7200,8,Đồ uống & Giải khát,333
SP001520,Nước tinh khiết Aquafina 500ml (Lô 25),Chai,7200,8,Đồ uống & Giải khát,340
SP001521,Cà phê sữa đá Highlands 235ml (Lô 25),Lon,19200,8,Đồ uống & Giải khát,347
SP001522,Bia Heineken Sleek 330ml (Lô 25),Lon,26400,10,Đồ uống & Giải khát,354
SP001523,Bia Tiger Crystal 330ml (Lô 25),Lon,23400,10,Đồ uống & Giải khát,361
SP001524,Bia Sài Gòn Special 330ml (Lô 25),Lon,19800,10,Đồ uống & Giải khát,368
SP001525,Sữa tươi tiệt trùng Vinamilk 180ml (Lô 25),Hộp,10200,0,Đồ uống & Giải khát,375
SP001526,Sữa chua uống Susu 110ml (Lô 25),Chai,7800,0,Đồ uống & Giải khát,382
SP001527,Nước ép bưởi hồng Vfresh 1L (Lô 25),Hộp,46800,8,Đồ uống & Giải khát,389
SP001528,Bánh ChocoPie Orion hộp 12 cái (Lô 25),Hộp,69600,8,Bánh kẹo & Ăn vặt,396
SP001529,Bánh Cosy mè giòn rụm Kinh Đô 288g (Lô 25),Gói,34800,8,Bánh kẹo & Ăn vặt,403
SP001530,Snack khoai tây Ostar vị tảo biển 90g (Lô 25),Gói,22800,8,Bánh kẹo & Ăn vặt,410
SP001531,Snack khoai tây Lay's tự nhiên 95g (Lô 25),Gói,25200,8,Bánh kẹo & Ăn vặt,417
SP001532,Bánh que Pocky socola Glico 40g (Lô 25),Hộp,16800,8,Bánh kẹo & Ăn vặt,424
SP001533,Kẹo dẻo Chupa Chups Sour Tubes 160g (Lô 25),Gói,28800,8,Bánh kẹo & Ăn vặt,431
SP001534,Bánh mì tươi nhân bơ sữa Kinh Đô 80g (Lô 25),Cái,10800,8,Bánh kẹo & Ăn vặt,438
SP001535,Bánh xốp Nabati phô mai 130g (Lô 25),Hộp,14400,8,Bánh kẹo & Ăn vặt,445
SP001536,Hạt điều rang muối vỏ lụa Bình Phước 500g (Lô 25),Hộp,162000,8,Bánh kẹo & Ăn vặt,452
SP001537,Hạt hướng dương Chacheer 130g (Lô 25),Gói,18000,8,Bánh kẹo & Ăn vặt,459
SP001538,Rong biển sấy vị truyền thống TaoKaeNoi 32g (Lô 25),Gói,31200,8,Bánh kẹo & Ăn vặt,466
SP001539,Nước mắm Nam Ngư Đệ Nhị chai 900ml (Lô 25),Chai,33600,8,Gia vị & Đồ nấu nướng,473
SP001540,Nước mắm Chinsu Cá Hồi chai 500ml (Lô 25),Chai,56400,8,Gia vị & Đồ nấu nướng,480
SP001541,Dầu ăn Simply đậu nành can 1L (Lô 25),Chai,70800,8,Gia vị & Đồ nấu nướng,487
SP001542,Dầu ăn Neptune Gold can 2L (Lô 25),Chai,162000,8,Gia vị & Đồ nấu nướng,494
SP001543,Hạt nêm Knorr thịt thăn xương ống 400g (Lô 25),Gói,44400,8,Gia vị & Đồ nấu nướng,51
SP001544,Bột ngọt Ajinomoto gói 454g (Lô 25),Gói,40800,8,Gia vị & Đồ nấu nướng,58
SP001545,Tương ớt Chinsu nắp bật 250g (Lô 25),Chai,18000,8,Gia vị & Đồ nấu nướng,65
SP001546,Tương cà Cholimex chai 330g (Lô 25),Chai,19200,8,Gia vị & Đồ nấu nướng,72
SP001547,Muối I-ốt Bạc Liêu túi 500g (Lô 25),Gói,7200,8,Gia vị & Đồ nấu nướng,79
SP001548,Đường tinh luyện Biên Hòa Daily 1kg (Lô 25),Gói,37200,8,Gia vị & Đồ nấu nướng,86
SP001549,Mì tôm Hảo Hảo tôm chua cay 75g (Lô 25),Gói,5400,8,Mì gói & Thực phẩm khô,93
SP001550,Mì Omachi sườn hầm ngũ quả 80g (Lô 25),Gói,10200,8,Mì gói & Thực phẩm khô,100
SP001551,Mì trộn Indomie Mi Goreng 85g (Lô 25),Gói,7800,8,Mì gói & Thực phẩm khô,107
SP001552,Phở gà Đệ Nhất Acecook 68g (Lô 25),Gói,9600,8,Mì gói & Thực phẩm khô,114
SP001553,Miến Phú Hương yến tiệc 210g (Lô 25),Gói,26400,8,Mì gói & Thực phẩm khô,121
SP001554,Cháo thịt bằm Cung Đình gói 50g (Lô 25),Gói,8400,8,Mì gói & Thực phẩm khô,128
SP001555,Cá nục sốt cà 3 Cô Gái lon 155g (Lô 25),Lon,22800,8,Mì gói & Thực phẩm khô,135
SP001556,Pate thịt heo Hạ Long lon 150g (Lô 25),Lon,32400,8,Mì gói & Thực phẩm khô,142
SP001557,Mì ly Modern lẩu thái tôm 65g (Lô 25),Ly,11400,8,Mì gói & Thực phẩm khô,149
SP001558,Nước rửa chén Sunlight chanh can 3.6kg (Lô 25),Can,130800,10,Hóa mỹ phẩm & Tẩy rửa,156
SP001559,Nước giặt OMO Matic cửa trên túi 3.6kg (Lô 25),Túi,210000,10,Hóa mỹ phẩm & Tẩy rửa,163
SP001560,Nước xả vải Comfort đậm đặc túi 3.2L (Lô 25),Túi,226800,10,Hóa mỹ phẩm & Tẩy rửa,170
SP001561,Dầu gội Clear thảo dược mát lạnh 630g (Lô 25),Chai,198000,10,Hóa mỹ phẩm & Tẩy rửa,177
SP001562,Dầu gội Pantene suôn mượt 650ml (Lô 25),Chai,186000,10,Hóa mỹ phẩm & Tẩy rửa,184
SP001563,Sữa tắm Lifebuoy bảo vệ vượt trội 800g (Lô 25),Chai,178800,10,Hóa mỹ phẩm & Tẩy rửa,191
SP001564,Kem đánh răng Colgate Total 12 180g (Lô 25),Tuýp,50400,10,Hóa mỹ phẩm & Tẩy rửa,198
SP001565,Bàn chải đánh răng P/S than tre (Lô 25),Cái,21600,10,Hóa mỹ phẩm & Tẩy rửa,205
SP001566,Nước lau sàn Sunlight hoa lily túi 3.6kg (Lô 25),Túi,102000,10,Hóa mỹ phẩm & Tẩy rửa,212
SP001567,Xịt muỗi Raid hương cam chanh 600ml (Lô 25),Chai,81600,10,Hóa mỹ phẩm & Tẩy rửa,219
SP001568,Giấy vệ sinh cuộn cao cấp Pulppy lốc 10 cuộn (Lô 25),Lốc,110400,8,Đồ gia dụng & Tiện ích,226
SP001569,Khăn giấy lụa rút Paseo 200 tờ (Lô 25),Hộp,30000,8,Đồ gia dụng & Tiện ích,233
SP001570,Màng bọc thực phẩm PE Sunhouse 30cmx150m (Lô 25),Hộp,90000,8,Đồ gia dụng & Tiện ích,240
SP001571,Túi rác đen tự hủy sinh học Opec 3 cuộn (Lô 25),Gói,45600,8,Đồ gia dụng & Tiện ích,247
SP001572,Băng dính dán thùng trong suốt 5cm x 100y (Lô 25),Cuộn,19200,8,Đồ gia dụng & Tiện ích,254
SP001573,Pin tiểu AA Panasonic vỉ 4 viên (Lô 25),Vỉ,31200,8,Đồ gia dụng & Tiện ích,261
SP001574,Khẩu trang y tế 4 lớp kháng khuẩn hộp 50 cái (Lô 25),Hộp,42000,8,Đồ gia dụng & Tiện ích,268
SP001575,Nước rửa tay Lifebuoy hương chanh chai 450ml (Lô 25),Chai,62400,8,Đồ gia dụng & Tiện ích,275
SP001576,Coca Cola Sleek 320ml (Lô 26),Lon,11000,8,Đồ uống & Giải khát,282
SP001577,Pepsi Sleek 320ml (Lô 26),Lon,10500,8,Đồ uống & Giải khát,289
SP001578,Nước cam ép Twister 450ml (Lô 26),Chai,12000,8,Đồ uống & Giải khát,296
SP001579,Trà xanh Không Độ 455ml (Lô 26),Chai,10000,8,Đồ uống & Giải khát,303
SP001580,Trà Ô Long Tea+ Plus 455ml (Lô 26),Chai,12000,8,Đồ uống & Giải khát,310
SP001581,Nước tăng lực Red Bull 250ml (Lô 26),Lon,14000,8,Đồ uống & Giải khát,317
SP001582,Nước khoáng Lavie 500ml (Lô 26),Chai,6000,8,Đồ uống & Giải khát,324
SP001583,Nước tinh khiết Aquafina 500ml (Lô 26),Chai,6000,8,Đồ uống & Giải khát,331
SP001584,Cà phê sữa đá Highlands 235ml (Lô 26),Lon,16000,8,Đồ uống & Giải khát,338
SP001585,Bia Heineken Sleek 330ml (Lô 26),Lon,22000,10,Đồ uống & Giải khát,345
SP001586,Bia Tiger Crystal 330ml (Lô 26),Lon,19500,10,Đồ uống & Giải khát,352
SP001587,Bia Sài Gòn Special 330ml (Lô 26),Lon,16500,10,Đồ uống & Giải khát,359
SP001588,Sữa tươi tiệt trùng Vinamilk 180ml (Lô 26),Hộp,8500,0,Đồ uống & Giải khát,366
SP001589,Sữa chua uống Susu 110ml (Lô 26),Chai,6500,0,Đồ uống & Giải khát,373
SP001590,Nước ép bưởi hồng Vfresh 1L (Lô 26),Hộp,39000,8,Đồ uống & Giải khát,380
SP001591,Bánh ChocoPie Orion hộp 12 cái (Lô 26),Hộp,58000,8,Bánh kẹo & Ăn vặt,387
SP001592,Bánh Cosy mè giòn rụm Kinh Đô 288g (Lô 26),Gói,29000,8,Bánh kẹo & Ăn vặt,394
SP001593,Snack khoai tây Ostar vị tảo biển 90g (Lô 26),Gói,19000,8,Bánh kẹo & Ăn vặt,401
SP001594,Snack khoai tây Lay's tự nhiên 95g (Lô 26),Gói,21000,8,Bánh kẹo & Ăn vặt,408
SP001595,Bánh que Pocky socola Glico 40g (Lô 26),Hộp,14000,8,Bánh kẹo & Ăn vặt,415
SP001596,Kẹo dẻo Chupa Chups Sour Tubes 160g (Lô 26),Gói,24000,8,Bánh kẹo & Ăn vặt,422
SP001597,Bánh mì tươi nhân bơ sữa Kinh Đô 80g (Lô 26),Cái,9000,8,Bánh kẹo & Ăn vặt,429
SP001598,Bánh xốp Nabati phô mai 130g (Lô 26),Hộp,12000,8,Bánh kẹo & Ăn vặt,436
SP001599,Hạt điều rang muối vỏ lụa Bình Phước 500g (Lô 26),Hộp,135000,8,Bánh kẹo & Ăn vặt,443
SP001600,Hạt hướng dương Chacheer 130g (Lô 26),Gói,15000,8,Bánh kẹo & Ăn vặt,450
SP001601,Rong biển sấy vị truyền thống TaoKaeNoi 32g (Lô 26),Gói,26000,8,Bánh kẹo & Ăn vặt,457
SP001602,Nước mắm Nam Ngư Đệ Nhị chai 900ml (Lô 26),Chai,28000,8,Gia vị & Đồ nấu nướng,464
SP001603,Nước mắm Chinsu Cá Hồi chai 500ml (Lô 26),Chai,47000,8,Gia vị & Đồ nấu nướng,471
SP001604,Dầu ăn Simply đậu nành can 1L (Lô 26),Chai,59000,8,Gia vị & Đồ nấu nướng,478
SP001605,Dầu ăn Neptune Gold can 2L (Lô 26),Chai,135000,8,Gia vị & Đồ nấu nướng,485
SP001606,Hạt nêm Knorr thịt thăn xương ống 400g (Lô 26),Gói,37000,8,Gia vị & Đồ nấu nướng,492
SP001607,Bột ngọt Ajinomoto gói 454g (Lô 26),Gói,34000,8,Gia vị & Đồ nấu nướng,499
SP001608,Tương ớt Chinsu nắp bật 250g (Lô 26),Chai,15000,8,Gia vị & Đồ nấu nướng,56
SP001609,Tương cà Cholimex chai 330g (Lô 26),Chai,16000,8,Gia vị & Đồ nấu nướng,63
SP001610,Muối I-ốt Bạc Liêu túi 500g (Lô 26),Gói,6000,8,Gia vị & Đồ nấu nướng,70
SP001611,Đường tinh luyện Biên Hòa Daily 1kg (Lô 26),Gói,31000,8,Gia vị & Đồ nấu nướng,77
SP001612,Mì tôm Hảo Hảo tôm chua cay 75g (Lô 26),Gói,4500,8,Mì gói & Thực phẩm khô,84
SP001613,Mì Omachi sườn hầm ngũ quả 80g (Lô 26),Gói,8500,8,Mì gói & Thực phẩm khô,91
SP001614,Mì trộn Indomie Mi Goreng 85g (Lô 26),Gói,6500,8,Mì gói & Thực phẩm khô,98
SP001615,Phở gà Đệ Nhất Acecook 68g (Lô 26),Gói,8000,8,Mì gói & Thực phẩm khô,105
SP001616,Miến Phú Hương yến tiệc 210g (Lô 26),Gói,22000,8,Mì gói & Thực phẩm khô,112
SP001617,Cháo thịt bằm Cung Đình gói 50g (Lô 26),Gói,7000,8,Mì gói & Thực phẩm khô,119
SP001618,Cá nục sốt cà 3 Cô Gái lon 155g (Lô 26),Lon,19000,8,Mì gói & Thực phẩm khô,126
SP001619,Pate thịt heo Hạ Long lon 150g (Lô 26),Lon,27000,8,Mì gói & Thực phẩm khô,133
SP001620,Mì ly Modern lẩu thái tôm 65g (Lô 26),Ly,9500,8,Mì gói & Thực phẩm khô,140
SP001621,Nước rửa chén Sunlight chanh can 3.6kg (Lô 26),Can,109000,10,Hóa mỹ phẩm & Tẩy rửa,147
SP001622,Nước giặt OMO Matic cửa trên túi 3.6kg (Lô 26),Túi,175000,10,Hóa mỹ phẩm & Tẩy rửa,154
SP001623,Nước xả vải Comfort đậm đặc túi 3.2L (Lô 26),Túi,189000,10,Hóa mỹ phẩm & Tẩy rửa,161
SP001624,Dầu gội Clear thảo dược mát lạnh 630g (Lô 26),Chai,165000,10,Hóa mỹ phẩm & Tẩy rửa,168
SP001625,Dầu gội Pantene suôn mượt 650ml (Lô 26),Chai,155000,10,Hóa mỹ phẩm & Tẩy rửa,175
SP001626,Sữa tắm Lifebuoy bảo vệ vượt trội 800g (Lô 26),Chai,149000,10,Hóa mỹ phẩm & Tẩy rửa,182
SP001627,Kem đánh răng Colgate Total 12 180g (Lô 26),Tuýp,42000,10,Hóa mỹ phẩm & Tẩy rửa,189
SP001628,Bàn chải đánh răng P/S than tre (Lô 26),Cái,18000,10,Hóa mỹ phẩm & Tẩy rửa,196
SP001629,Nước lau sàn Sunlight hoa lily túi 3.6kg (Lô 26),Túi,85000,10,Hóa mỹ phẩm & Tẩy rửa,203
SP001630,Xịt muỗi Raid hương cam chanh 600ml (Lô 26),Chai,68000,10,Hóa mỹ phẩm & Tẩy rửa,210
SP001631,Giấy vệ sinh cuộn cao cấp Pulppy lốc 10 cuộn (Lô 26),Lốc,92000,8,Đồ gia dụng & Tiện ích,217
